policy_id,field,class,display_class,count,field_total,proportion
32,action_type,observed effect,Observed effect,199,1952,0.1019467213114754
32,interaction_mode,communication,Communication,1017,1952,0.5210040983606558
32,interaction_mode,material_action,Material action,398,1952,0.2038934426229508
32,interaction_mode,market_or_economic_state,Market/economic state,153,1952,0.0783811475409836
32,interaction_mode,institutional_action,Institutional action,271,1952,0.13883196721311475
32,interaction_mode,other,Other mode,74,1952,0.03790983606557377
32,interaction_mode,intent_or_plan,Intent/plan,7,1952,0.003586065573770492
32,interaction_mode,legal_or_enforcement_action,Legal/enforcement,25,1952,0.012807377049180328
32,interaction_mode,request_or_pressure,Request/pressure,7,1952,0.003586065573770492
32,financial_action_family,cameo_01_make_public_statement,Public statement,1100,1952,0.5635245901639344
32,financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,95,1952,0.048668032786885244
32,financial_action_family,other_financial_event,Other financial event,75,1952,0.038422131147540985
32,financial_action_family,legislative_policy_authorization,Legislative authorization,302,1952,0.15471311475409835
32,financial_action_family,business_operations_adjustment,Business operations,47,1952,0.024077868852459015
32,financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,18,1952,0.009221311475409836
32,financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,16,1952,0.00819672131147541
32,financial_action_family,cameo_17_coerce_or_financial_regulation,Cameo 17 Coerce Or Financial Regulation,43,1952,0.022028688524590164
32,financial_action_family,__other_families__,Other families,256,1952,0.13114754098360656
33,action_type,communication,Communication,1530,2198,0.6960873521383075
33,action_type,direct intervention,Direct intervention,397,2198,0.18061874431301184
33,action_type,observed effect,Observed effect,271,2198,0.12329390354868063
33,interaction_mode,communication,Communication,1134,2198,0.5159235668789809
33,interaction_mode,material_action,Material action,738,2198,0.33575978161965425
33,interaction_mode,market_or_economic_state,Market/economic state,239,2198,0.10873521383075523
33,interaction_mode,institutional_action,Institutional action,9,2198,0.004094631483166515
33,interaction_mode,other,Other mode,54,2198,0.02456778889899909
33,interaction_mode,intent_or_plan,Intent/plan,1,2198,0.00045495905368516835
33,interaction_mode,legal_or_enforcement_action,Legal/enforcement,22,2198,0.010009099181073703
33,interaction_mode,request_or_pressure,Request/pressure,1,2198,0.00045495905368516835
33,financial_action_family,cameo_01_make_public_statement,Public statement,1215,2198,0.5527752502274795
33,financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,170,2198,0.07734303912647862
33,financial_action_family,other_financial_event,Other financial event,94,2198,0.042766151046405826
33,financial_action_family,legislative_policy_authorization,Legislative authorization,21,2198,0.009554140127388535
33,financial_action_family,business_operations_adjustment,Business operations,46,2198,0.020928116469517744
33,financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,15,2198,0.006824385805277525
33,financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,36,2198,0.01637852593266606
33,financial_action_family,cameo_17_coerce_or_financial_regulation,Cameo 17 Coerce Or Financial Regulation,234,2198,0.10646041856232939
33,financial_action_family,__other_families__,Other families,367,2198,0.16696997270245678
34,action_type,communication,Communication,2308,3398,0.6792230723955268
34,action_type,direct intervention,Direct intervention,666,3398,0.19599764567392583
34,action_type,observed effect,Observed effect,424,3398,0.12477928193054738
34,interaction_mode,communication,Communication,1707,3398,0.5023543260741613
34,interaction_mode,material_action,Material action,1052,3398,0.3095938787522072
34,interaction_mode,market_or_economic_state,Market/economic state,336,3398,0.09888169511477339
34,interaction_mode,institutional_action,Institutional action,57,3398,0.016774573278399058
34,interaction_mode,other,Other mode,151,3398,0.044437904649794
34,interaction_mode,intent_or_plan,Intent/plan,7,3398,0.0020600353148911123
34,interaction_mode,legal_or_enforcement_action,Legal/enforcement,66,3398,0.01942319011183049
34,interaction_mode,request_or_pressure,Request/pressure,22,3398,0.006474396703943496
34,financial_action_family,cameo_01_make_public_statement,Public statement,1777,3398,0.5229546792230724
34,financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,263,3398,0.0773984696880518
34,financial_action_family,other_financial_event,Other financial event,151,3398,0.044437904649794
34,financial_action_family,legislative_policy_authorization,Legislative authorization,40,3398,0.011771630370806356
34,financial_action_family,business_operations_adjustment,Business operations,67,3398,0.01971748087110065
34,financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,44,3398,0.012948793407886992
34,financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,88,3398,0.025897586815773983
34,financial_action_family,cameo_17_coerce_or_financial_regulation,Cameo 17 Coerce Or Financial Regulation,291,3398,0.08563861094761624
34,financial_action_family,__other_families__,Other families,677,3398,0.19923484402589758
35,action_type,communication,Communication,3197,5044,0.6338223632038065
35,action_type,direct intervention,Direct intervention,964,5044,0.19111816019032513
35,action_type,observed effect,Observed effect,883,5044,0.17505947660586835
35,interaction_mode,communication,Communication,2582,5044,0.5118953211736716
35,interaction_mode,material_action,Material action,1435,5044,0.2844964314036479
35,interaction_mode,market_or_economic_state,Market/economic state,728,5044,0.14432989690721648
35,interaction_mode,institutional_action,Institutional action,95,5044,0.018834258524980173
35,interaction_mode,other,Other mode,116,5044,0.022997620935765267
35,interaction_mode,intent_or_plan,Intent/plan,18,5044,0.0035685963521015066
